name,experiment_URL,participants
Condition.8_F_L_A_S_09_B_1_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=09&TestOrder=B&respKeyExp=1&respKeyTest=1&platform=prolific,1
Condition.9_F_L_A_S_10_A_0_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=A&respKeyExp=0&respKeyTest=0&platform=prolific,1
Condition.10_F_L_A_S_10_A_0_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=A&respKeyExp=0&respKeyTest=1&platform=prolific,1
Condition.11_F_L_A_S_10_A_1_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=A&respKeyExp=1&respKeyTest=0&platform=prolific,1
Condition.12_F_L_A_S_10_A_1_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=A&respKeyExp=1&respKeyTest=1&platform=prolific,1
Condition.13_F_L_A_S_10_B_0_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=B&respKeyExp=0&respKeyTest=0&platform=prolific,1
Condition.14_F_L_A_S_10_B_0_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=B&respKeyExp=0&respKeyTest=1&platform=prolific,1
Condition.15_F_L_A_S_10_B_1_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=B&respKeyExp=1&respKeyTest=0&platform=prolific,1
Condition.16_F_L_A_S_10_B_1_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=S&ExposureOrder=10&TestOrder=B&respKeyExp=1&respKeyTest=1&platform=prolific,1
Condition.17_F_L_A_Sh_01_A_0_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=0&platform=prolific,1
Condition.18_F_L_A_Sh_01_A_0_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=0&respKeyTest=1&platform=prolific,1
Condition.19_F_L_A_Sh_01_A_1_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=0&platform=prolific,1
Condition.20_F_L_A_Sh_01_A_1_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=A&respKeyExp=1&respKeyTest=1&platform=prolific,1
Condition.21_F_L_A_Sh_01_B_0_0,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=0&platform=prolific,1
Condition.22_F_L_A_Sh_01_B_0_1,https://www.hlp.rochester.edu/experiments/PRATTLIM/experiment-A/experiment.html?AttendedTalkerGender=F&AttendedTalkerEar=L&AttendedTalkerMaterial=A&AttendedTalkerLabel=Sh&ExposureOrder=01&TestOrder=B&respKeyExp=0&respKeyTest=1&platform=prolific,1
