"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"64","Exposure","Filler",1,15,"Parakeet","Set B","Word","Ganla","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Parakeet.M.R_N.Ganla.F.L.wav"
"65","Exposure","Filler",1,15,"Pilgrim","Set C","Word","Emhoutic","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Pilgrim.M.L_N.Emhoutic.F.R.wav"
"66","Exposure","Filler",1,16,"Pineapple","Set A","Word","Bikanian","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Pineapple.F.R_N.Bikanian.M.L.wav"
"67","Exposure","Filler",1,16,"Platonic","Set B","Word","Dadigal","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Platonic.M.R_N.Dadigal.F.L.wav"
"68","Exposure","Filler",1,16,"Predict","Set C","Word","Dilkuaund","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Predict.M.L_N.Dilkuaund.F.R.wav"
"69","Exposure","Filler",1,17,"Purgatory","Set A","Word","Baliber","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Purgatory.F.R_N.Baliber.M.L.wav"
"70","Exposure","Filler",1,17,"Tactical","Set B","Word","Bamtell","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Tactical.M.R_N.Bamtell.F.L.wav"
"71","Exposure","Filler",1,17,"Terminal","Set C","Word","Bowidai","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Terminal.M.L_N.Bowidai.F.R.wav"
"72","Exposure","Filler",1,18,"Therapeutic","Set A","Word","Amalar","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Therapeutic.F.R_N.Amalar.M.L.wav"
"73","Exposure","Filler",1,18,"Titanium","Set B","Word","Anemer","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Titanium.M.R_N.Anemer.F.L.wav"
"74","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Turbulent.M.L_N.Anolipa.F.R.wav"
"75","Exposure","Filler",1,19,"Tutorial","Set A","Word","Ailounam","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Tutorial.F.R_N.Ailounam.M.L.wav"
"76","Exposure","Filler",1,19,"Umbrella","Set B","Word","Lilgrai","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Umbrella.M.R_N.Lilgrai.F.L.wav"
"77","Exposure","Filler",1,19,"Undermine","Set C","Word","Alnadiro","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Undermine.M.L_N.Alnadiro.F.R.wav"
"78","Exposure","Filler",1,20,"Wealthy","Set A","Word","Acomining","Set A","Nonword","3","Female","Right","Male","Left",1,"Filler_A.03_W.Wealthy.F.R_N.Acomining.M.L.wav"
"79","Exposure","Filler",1,20,"Worldly","Set B","Word","Admunker","Set B","Nonword","4","Male","Right","Female","Left",1,"Filler_B.04_W.Worldly.M.R_N.Admunker.F.L.wav"
"80","Exposure","Filler",1,20,"Wrinkle","Set C","Word","Aigi","Set C","Nonword","1","Male","Left","Female","Right",1,"Filler_C.01_W.Wrinkle.M.L_N.Aigi.F.R.wav"
"81","Test","Test",1,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.1.ashi.25.wav"
"82","Test","Test",2,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.1.ashi.25.wav"
"83","Test","Test",5,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.1.ashi.25.wav"
"84","Test","Test",6,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.1.ashi.25.wav"
"85","Test","Test",9,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.1.ashi.25.wav"
"86","Test","Test",10,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.1.ashi.25.wav"
"87","Test","Test",3,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.1.ashi.25.wav"
"88","Test","Test",4,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.1.ashi.25.wav"
"89","Test","Test",7,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.1.ashi.25.wav"
"90","Test","Test",8,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.1.ashi.25.wav"
"91","Test","Test",11,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.1.ashi.25.wav"
"92","Test","Test",12,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.1.ashi.25.wav"
"93","Test","Test",1,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.2.ashi.30.wav"
"94","Test","Test",2,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.2.ashi.30.wav"
"95","Test","Test",5,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.2.ashi.30.wav"
"96","Test","Test",6,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.2.ashi.30.wav"
"97","Test","Test",9,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.2.ashi.30.wav"
"98","Test","Test",10,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.2.ashi.30.wav"
"99","Test","Test",3,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.2.ashi.30.wav"
"100","Test","Test",4,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.2.ashi.30.wav"
"101","Test","Test",7,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.2.ashi.30.wav"
"102","Test","Test",8,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.2.ashi.30.wav"
"103","Test","Test",11,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.2.ashi.30.wav"
"104","Test","Test",12,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.2.ashi.30.wav"
"105","Test","Test",1,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.3.ashi.40.wav"
"106","Test","Test",2,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.3.ashi.40.wav"
"107","Test","Test",5,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.3.ashi.40.wav"
"108","Test","Test",6,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.3.ashi.40.wav"
"109","Test","Test",9,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.3.ashi.40.wav"
"110","Test","Test",10,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.3.ashi.40.wav"
"111","Test","Test",3,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.3.ashi.40.wav"
"112","Test","Test",4,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.3.ashi.40.wav"
"113","Test","Test",7,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.3.ashi.40.wav"
"114","Test","Test",8,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.3.ashi.40.wav"
"115","Test","Test",11,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.3.ashi.40.wav"
"116","Test","Test",12,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.3.ashi.40.wav"
"117","Test","Test",1,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.4.ashi.45.wav"
"118","Test","Test",2,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.4.ashi.45.wav"
