"","Attended.Talker","Expected.Response","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","reps","feedback","filename"
"109","NA","NA","Test","Test",9,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.09_F.3_ashi.40.wav"
"110","NA","NA","Test","Test",10,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.10_F.3_ashi.40.wav"
"111","NA","NA","Test","Test",3,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.03_M.3_ashi.40.wav"
"112","NA","NA","Test","Test",4,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.04_M.3_ashi.40.wav"
"113","NA","NA","Test","Test",7,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.07_M.3_ashi.40.wav"
"114","NA","NA","Test","Test",8,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.08_M.3_ashi.40.wav"
"115","NA","NA","Test","Test",11,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.11_M.3_ashi.40.wav"
"116","NA","NA","Test","Test",12,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.12_M.3_ashi.40.wav"
"117","NA","NA","Test","Test",1,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.01_F.4_ashi.45.wav"
"118","NA","NA","Test","Test",2,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.02_F.4_ashi.45.wav"
"119","NA","NA","Test","Test",5,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.05_F.4_ashi.45.wav"
"120","NA","NA","Test","Test",6,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.06_F.4_ashi.45.wav"
"121","NA","NA","Test","Test",9,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.09_F.4_ashi.45.wav"
"122","NA","NA","Test","Test",10,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.10_F.4_ashi.45.wav"
"123","NA","NA","Test","Test",3,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.03_M.4_ashi.45.wav"
"124","NA","NA","Test","Test",4,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.04_M.4_ashi.45.wav"
"125","NA","NA","Test","Test",7,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.07_M.4_ashi.45.wav"
"126","NA","NA","Test","Test",8,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.08_M.4_ashi.45.wav"
"127","NA","NA","Test","Test",11,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.11_M.4_ashi.45.wav"
"128","NA","NA","Test","Test",12,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,FALSE,"Test_A.12_M.4_ashi.45.wav"
"129","NA","NA","Test","Test",1,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.01_F.5_ashi.50.wav"
"130","NA","NA","Test","Test",2,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.02_F.5_ashi.50.wav"
"131","NA","NA","Test","Test",5,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.05_F.5_ashi.50.wav"
"132","NA","NA","Test","Test",6,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,FALSE,"Test_A.06_F.5_ashi.50.wav"
