"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"83","Test","Test",5,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.1_ashi.25.wav"
"84","Test","Test",6,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.1_ashi.25.wav"
"85","Test","Test",9,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.1_ashi.25.wav"
"86","Test","Test",10,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.1_ashi.25.wav"
"87","Test","Test",3,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.1_ashi.25.wav"
"88","Test","Test",4,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.1_ashi.25.wav"
"89","Test","Test",7,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.1_ashi.25.wav"
"90","Test","Test",8,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.1_ashi.25.wav"
"91","Test","Test",11,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.1_ashi.25.wav"
"92","Test","Test",12,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.1_ashi.25.wav"
"93","Test","Test",1,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.2_ashi.30.wav"
"94","Test","Test",2,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.2_ashi.30.wav"
"95","Test","Test",5,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.2_ashi.30.wav"
