"","Phase","Item.Type","Block","Item.Number","Talker.A","Talker.A_Materials","Talker.A_Sound","Talker.B","Talker.B_Materials","Talker.B_Sound","Version","Talker.A_Gender","Talker.A_Ear","Talker.B_Gender","Talker.B_Ear","rep","filename"
"74","Exposure","Filler",1,18,"Turbulent","Set C","Word","Anolipa","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Turbulent.M.R_N.Anolipa.F.L.wav"
"75","Exposure","Filler",1,19,"Tutorial","Set A","Word","Ailounam","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Tutorial.F.L_N.Ailounam.M.R.wav"
"76","Exposure","Filler",1,19,"Umbrella","Set B","Word","Lilgrai","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Umbrella.M.L_N.Lilgrai.F.R.wav"
"77","Exposure","Filler",1,19,"Undermine","Set C","Word","Alnadiro","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Undermine.M.R_N.Alnadiro.F.L.wav"
"78","Exposure","Filler",1,20,"Wealthy","Set A","Word","Acomining","Set A","Nonword","2","Female","Left","Male","Right",1,"Filler_03_A.2_W.Wealthy.F.L_N.Acomining.M.R.wav"
"79","Exposure","Filler",1,20,"Worldly","Set B","Word","Admunker","Set B","Nonword","1","Male","Left","Female","Right",1,"Filler_03_B.1_W.Worldly.M.L_N.Admunker.F.R.wav"
"80","Exposure","Filler",1,20,"Wrinkle","Set C","Word","Aigi","Set C","Nonword","4","Male","Right","Female","Left",1,"Filler_03_C.4_W.Wrinkle.M.R_N.Aigi.F.L.wav"
"81","Test","Test",1,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.1_ashi.25.wav"
"82","Test","Test",2,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.1_ashi.25.wav"
"83","Test","Test",5,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.1_ashi.25.wav"
"84","Test","Test",6,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.1_ashi.25.wav"
"85","Test","Test",9,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.1_ashi.25.wav"
"86","Test","Test",10,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.1_ashi.25.wav"
"87","Test","Test",3,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.1_ashi.25.wav"
"88","Test","Test",4,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.1_ashi.25.wav"
"89","Test","Test",7,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.1_ashi.25.wav"
"90","Test","Test",8,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.1_ashi.25.wav"
"91","Test","Test",11,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.1_ashi.25.wav"
"92","Test","Test",12,1,"ashi.25",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.1_ashi.25.wav"
"93","Test","Test",1,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.2_ashi.30.wav"
"94","Test","Test",2,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.2_ashi.30.wav"
"95","Test","Test",5,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.2_ashi.30.wav"
"96","Test","Test",6,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.2_ashi.30.wav"
"97","Test","Test",9,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.2_ashi.30.wav"
"98","Test","Test",10,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.2_ashi.30.wav"
"99","Test","Test",3,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.2_ashi.30.wav"
"100","Test","Test",4,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.2_ashi.30.wav"
"101","Test","Test",7,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.2_ashi.30.wav"
"102","Test","Test",8,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.2_ashi.30.wav"
"103","Test","Test",11,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.2_ashi.30.wav"
"104","Test","Test",12,2,"ashi.30",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.2_ashi.30.wav"
"105","Test","Test",1,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.3_ashi.40.wav"
"106","Test","Test",2,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.3_ashi.40.wav"
"107","Test","Test",5,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.3_ashi.40.wav"
"108","Test","Test",6,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.3_ashi.40.wav"
"109","Test","Test",9,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.3_ashi.40.wav"
"110","Test","Test",10,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.3_ashi.40.wav"
"111","Test","Test",3,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.3_ashi.40.wav"
"112","Test","Test",4,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.3_ashi.40.wav"
"113","Test","Test",7,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.3_ashi.40.wav"
"114","Test","Test",8,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.3_ashi.40.wav"
"115","Test","Test",11,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.3_ashi.40.wav"
"116","Test","Test",12,3,"ashi.40",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.3_ashi.40.wav"
"117","Test","Test",1,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.4_ashi.45.wav"
"118","Test","Test",2,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.4_ashi.45.wav"
"119","Test","Test",5,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.4_ashi.45.wav"
"120","Test","Test",6,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.4_ashi.45.wav"
"121","Test","Test",9,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.4_ashi.45.wav"
"122","Test","Test",10,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.4_ashi.45.wav"
"123","Test","Test",3,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.4_ashi.45.wav"
"124","Test","Test",4,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.4_ashi.45.wav"
"125","Test","Test",7,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.4_ashi.45.wav"
"126","Test","Test",8,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.4_ashi.45.wav"
"127","Test","Test",11,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.4_ashi.45.wav"
"128","Test","Test",12,4,"ashi.45",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.4_ashi.45.wav"
"129","Test","Test",1,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.5_ashi.50.wav"
"130","Test","Test",2,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.5_ashi.50.wav"
"131","Test","Test",5,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.5_ashi.50.wav"
"132","Test","Test",6,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.5_ashi.50.wav"
"133","Test","Test",9,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.5_ashi.50.wav"
"134","Test","Test",10,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.5_ashi.50.wav"
"135","Test","Test",3,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.5_ashi.50.wav"
"136","Test","Test",4,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.5_ashi.50.wav"
"137","Test","Test",7,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.5_ashi.50.wav"
"138","Test","Test",8,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.5_ashi.50.wav"
"139","Test","Test",11,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.5_ashi.50.wav"
"140","Test","Test",12,5,"ashi.50",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.5_ashi.50.wav"
"141","Test","Test",1,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.01_F.6_ashi.70.wav"
"142","Test","Test",2,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.02_F.6_ashi.70.wav"
"143","Test","Test",5,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.05_F.6_ashi.70.wav"
"144","Test","Test",6,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.06_F.6_ashi.70.wav"
"145","Test","Test",9,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.09_F.6_ashi.70.wav"
"146","Test","Test",10,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,1,"Test_A.10_F.6_ashi.70.wav"
"147","Test","Test",3,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.03_M.6_ashi.70.wav"
"148","Test","Test",4,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.04_M.6_ashi.70.wav"
"149","Test","Test",7,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.07_M.6_ashi.70.wav"
"150","Test","Test",8,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.08_M.6_ashi.70.wav"
"151","Test","Test",11,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.11_M.6_ashi.70.wav"
"152","Test","Test",12,6,"ashi.70",NA,NA,NA,NA,NA,NA,"Male",NA,NA,NA,1,"Test_A.12_M.6_ashi.70.wav"
