Phase,Item.Type,Block,Item.Number,Talker.A,Talker.A_Materials,Talker.A_Sound,Talker.B,Talker.B_Materials,Talker.B_Sound,Talker.A_Gender,Talker.A_Ear,Talker.B_Gender,Talker.B_Ear,Version,A,B,Talker,reps,feedback,filename
Exposure,Filler,1,17,Terminal,Set C,Word,Bowidai,Set C,Nonword,Male,Left,Female,Right,01,W.Terminal.M.L,N.Bowidai.F.R,1,1,FALSE,Critical_W.Terminal.M.L_N.Bowidai.F.R.wav
Exposure,Filler,1,18,Therapeutic,Set A,Word,Amalar,Set A,Nonword,Female,Right,Male,Left,03,W.Therapeutic.F.R,N.Amalar.M.L,2,1,FALSE,Critical_N.Amalar.M.L_W.Therapeutic.F.R.wav
Exposure,Filler,1,18,Titanium,Set B,Word,Anemer,Set B,Nonword,Male,Right,Female,Left,04,W.Titanium.M.R,N.Anemer.F.L,2,1,FALSE,Critical_N.Anemer.F.L_W.Titanium.M.R.wav
Exposure,Filler,1,18,Turbulent,Set C,Word,Anolipa,Set C,Nonword,Male,Left,Female,Right,01,W.Turbulent.M.L,N.Anolipa.F.R,1,1,FALSE,Critical_W.Turbulent.M.L_N.Anolipa.F.R.wav
Exposure,Filler,1,19,Tutorial,Set A,Word,Ailounam,Set A,Nonword,Female,Right,Male,Left,03,W.Tutorial.F.R,N.Ailounam.M.L,2,1,FALSE,Critical_N.Ailounam.M.L_W.Tutorial.F.R.wav
Exposure,Filler,1,19,Umbrella,Set B,Word,Lilgrai,Set B,Nonword,Male,Right,Female,Left,04,W.Umbrella.M.R,N.Lilgrai.F.L,2,1,FALSE,Critical_N.Lilgrai.F.L_W.Umbrella.M.R.wav
Exposure,Filler,1,19,Undermine,Set C,Word,Alnadiro,Set C,Nonword,Male,Left,Female,Right,01,W.Undermine.M.L,N.Alnadiro.F.R,1,1,FALSE,Critical_W.Undermine.M.L_N.Alnadiro.F.R.wav
Exposure,Filler,1,20,Wealthy,Set A,Word,Acomining,Set A,Nonword,Female,Right,Male,Left,03,W.Wealthy.F.R,N.Acomining.M.L,2,1,FALSE,Critical_N.Acomining.M.L_W.Wealthy.F.R.wav
Exposure,Filler,1,20,Worldly,Set B,Word,Admunker,Set B,Nonword,Male,Right,Female,Left,04,W.Worldly.M.R,N.Admunker.F.L,2,1,FALSE,Critical_N.Admunker.F.L_W.Worldly.M.R.wav
Exposure,Filler,1,20,Wrinkle,Set C,Word,Aigi,Set C,Nonword,Male,Left,Female,Right,01,W.Wrinkle.M.L,N.Aigi.F.R,1,1,FALSE,Critical_W.Wrinkle.M.L_N.Aigi.F.R.wav
